Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Property Type,Latitude,Longitude,City
2500,991,110,2,2,1,2,1,0,0,0,Perdizes,rent,apartment,-23.533614,-46.685849,São Paulo
1300,277,32,1,1,0,0,0,0,0,0,Santa Cecília,rent,apartment,0.0,0.0,São Paulo
1600,660,63,2,2,1,1,0,0,1,0,Vila Guilherme,rent,apartment,-23.51815,-46.612737,São Paulo
2350,0,89,3,2,1,1,1,0,1,0,Mooca,rent,apartment,-23.560326,-46.59959,São Paulo
2100,410,57,2,2,1,1,0,0,1,0,Ipiranga,rent,apartment,-23.6034929,-46.6079164,São Paulo
1300,400,65,2,1,0,1,0,0,1,0,Butantã,rent,apartment,-23.5865286,-46.7659767,São Paulo
3200,550,42,1,1,0,2,1,1,1,0,Vila Mariana,rent,apartment,0.0,0.0,São Paulo
1617,354,48,1,1,0,0,0,0,0,0,Bela Vista,rent,apartment,-23.5525175,-46.6508877,São Paulo
1500,245,60,1,1,0,1,1,0,0,0,Liberdade,rent,apartment,-23.5535011,-46.6281897,São Paulo
1342,626,60,2,1,0,1,0,0,1,0,Butantã,rent,apartment,-23.5817238,-46.762208,São Paulo
1000,611,35,1,1,0,1,0,0,1,0,Santana,rent,apartment,0.0,0.0,São Paulo
1850,1400,43,1,2,1,1,1,1,0,0,Jardim Paulista,rent,apartment,-23.569191,-46.65799,São Paulo
1050,850,73,2,2,1,1,0,0,0,0,Vila Maria,rent,apartment,-23.518716,-46.587196,São Paulo
1500,530,63,3,2,1,1,1,0,1,0,Cidade Líder,rent,apartment,-23.564779,-46.476772,São Paulo
6000,2106,150,3,2,1,2,0,0,1,0,Campo Belo,rent,apartment,-23.6268033,-46.6713379,São Paulo
1800,160,50,2,2,1,1,0,0,0,0,Pirituba,rent,apartment,-23.490739,-46.724679,São Paulo
2000,280,60,2,1,0,0,0,0,0,0,Perdizes,rent,apartment,-23.5404024,-46.6856844,São Paulo
1500,330,33,1,1,0,1,0,0,0,0,Sé,rent,apartment,-23.5464599,-46.6235178,São Paulo
1800,832,69,3,1,0,1,1,0,0,0,República,rent,apartment,0.0,0.0,São Paulo
9200,2000,210,3,4,3,4,0,0,1,0,Vila Leopoldina,rent,apartment,-23.5330447,-46.7317046,São Paulo
5000,1216,180,3,2,1,2,0,0,0,0,Jardim Paulista,rent,apartment,-23.5669939,-46.6606564,São Paulo
1800,571,55,1,1,0,1,0,0,1,0,Consolação,rent,apartment,-23.5532795,-46.6523395,São Paulo
700,178,50,2,2,1,1,0,0,0,0,Vila Jacuí,rent,apartment,-23.505807,-46.467677,São Paulo
1120,340,48,2,2,1,1,0,0,0,0,Cangaíba,rent,apartment,-23.502336,-46.523243,São Paulo
1380,620,75,3,2,1,1,0,0,0,0,Socorro,rent,apartment,-23.669143,-46.722027,São Paulo
5800,1000,90,2,3,2,2,0,1,1,0,Vila Mariana,rent,apartment,-23.588635,-46.642081,São Paulo
1800,500,50,2,2,1,1,1,0,1,0,Anhanguera,rent,apartment,-23.521387,-46.653272,São Paulo
1480,458,57,1,2,1,0,0,0,0,0,Mooca,rent,apartment,-23.580333,-46.5915948,São Paulo
1350,450,54,2,2,1,1,0,0,1,0,Freguesia do Ó,rent,apartment,-23.4831075,-46.7009238,São Paulo
3300,720,76,2,1,0,2,0,1,1,0,Vila Sônia,rent,apartment,-23.5983956,-46.7400709,São Paulo
1950,780,75,2,2,1,1,0,0,0,0,Vila Mariana,rent,apartment,-23.584773,-46.643706,São Paulo
800,50,46,2,2,1,1,0,0,0,0,Cidade Tiradentes,rent,apartment,-23.590671,-46.396841,São Paulo
3000,770,86,3,2,1,1,1,0,0,0,Brooklin,rent,apartment,-23.605815,-46.695051,São Paulo
900,450,50,2,2,1,1,1,0,0,0,Mandaqui,rent,apartment,-23.468283,-46.637882,São Paulo
900,0,48,2,2,1,1,0,0,0,0,São Miguel,rent,apartment,-23.506624,-46.467897,São Paulo
20000,4323,317,4,2,4,5,0,0,1,0,Alto de Pinheiros,rent,apartment,-23.5511925,-46.7214333,São Paulo
1500,389,75,2,1,0,0,0,0,0,0,Pari,rent,apartment,-23.5002428,-46.6276118,São Paulo
3000,580,85,3,2,1,1,0,1,1,0,Lapa,rent,apartment,-23.5297827,-46.7043686,São Paulo
1500,0,43,2,2,1,1,1,0,1,0,Campo Limpo,rent,apartment,-23.627833,-46.767245,São Paulo
980,490,50,1,2,1,1,1,0,0,0,Cachoeirinha,rent,apartment,-23.468366,-46.637888,São Paulo
2800,708,102,3,4,2,2,1,0,1,0,Jaguaré,rent,apartment,-23.551904,-46.749714,São Paulo
1600,750,70,2,1,0,2,0,0,1,0,Perdizes,rent,apartment,-23.5384566,-46.6829948,São Paulo
26000,4400,300,4,7,4,5,1,1,1,0,Moema,rent,apartment,-23.610405,-46.659519,São Paulo
1971,610,70,3,1,0,1,0,0,1,0,Tucuruvi,rent,apartment,-23.4662629,-46.6031151,São Paulo
1385,615,75,3,2,1,1,0,0,1,0,Campo Limpo,rent,apartment,-23.648105,-46.761018,São Paulo
3000,760,75,3,2,1,1,0,0,1,0,Moema,rent,apartment,-23.603528,-46.658369,São Paulo
1260,199,48,2,2,1,1,0,0,0,0,Capão Redondo,rent,apartment,-23.67507,-46.75906,São Paulo
